INDIVIDUALS	STRATA
ETDN-12_042	NOR
T2X-16_053	NOR
ECUM-17_020	NOR
BURG-15_049	NOR
T3P3-16_003	NOR
T1P3-16_027	NOR
ARIS-15_007	NOR
T5P3-16_011	NOR
BIGB-12_049	NOR
BIGB-15_013	NOR
ECUM-17_009	NOR
MALP-15_003	NOR
BURG-15_043	NOR
T5P4-16_007	NOR
FORT-15_044	NOR
SIDN-12_039	NOR
VALC-12_052	NOR
PLAC-16_028	NOR
CAPM-12_022	NOR
POBA-16_010	NOR
CHET-12_003	NOR
T2P3-16_001	NOR
CARA-12_025	NOR
ANTI-15_026	NOR
TIGN-15_004	NOR
FORT-15_054	NOR
T3P3-16_012	NOR
ETDN-12_033	NOR
TRIT-12_025	NOR
T1P2-16_039	NOR
T4P3-16_018	NOR
TONE-12_014	NOR
T1P4-16_010	NOR
T2X-16_004	NOR
FORT-16_040	NOR
BIGB-15_026	NOR
T1P4-16_040	NOR
PLAC-16_027	NOR
T1P4-16_032	NOR
T4P2-16_042	NOR
CARA-12_005	NOR
T5P1-16_050	NOR
CARA-12_031	NOR
ANTI-12_049	NOR
VALC-12_016	NOR
SHED-15_037	NOR
CAPM-12_031	NOR
T5P1-16_022	NOR
T1P1-16_017	NOR
T1P2-16_017	NOR
T2P1-16_014	NOR
PORT-12_045	NOR
SOUR-15_027	NOR
T4P3-16_023	NOR
T5P2-16_037	NOR
T5P1-16_043	NOR
ETDN-12_021	NOR
FORT-15_012	NOR
TIGN-15_048	NOR
T3P4-16_015	NOR
ANTI-12_040	NOR
STGM-15_028	NOR
ETDN-15_026	NOR
LOBS-12_012	SOU
BARR-15_022	SOU
SEAL-15_001	SOU
MUSQ-15_008	SOU
THEW-12_011	SOU
PASS-15_039	SOU
SEAL-15_008	SOU
THEW-12_013	SOU
BARR-15_001	SOU
THEW-15_036	SOU
BFUN-15_039	SOU
LOBS-12_035	SOU
LOBS-15_027	SOU
ISLE-15_013	SOU
PASS-15_008	SOU
LOBS-15_045	SOU
MARX-16_006	SOU
STMB-15_027	SOU
NANT-16_010	SOU
MUSQ-15_051	SOU
STMB-15_034	SOU
STMB-15_024	SOU
OFF2-12_028	SOU
SEAL-12_009	SOU
COAS-15_011	SOU
OFF2-12_036	SOU
BROW-15_009	SOU
ISLE-15_006	SOU
NORT-12_008	SOU
SJHB-15_026	SOU
BROW-15_013	SOU
SJHB-15_016	SOU
SJHB-12_002	SOU
COAS-15_006	SOU
CROW-16_038	SOU
THEW-15_040	SOU
PORM-15_033	SOU
BROW-15_038	SOU
OFF2-12_030	SOU
CROW-16_007	SOU
OFF3-12_031	SOU
SJHB-15_038	SOU
LOBS-15_042	SOU
PORM-15_038	SOU
CROW-16_011	SOU
BFUN-15_008	SOU
PASS-15_053	SOU
PLYX-15_037	SOU
MUSQ-15_048	SOU
BROW-15_011	SOU
BROW-15_042	SOU
GEOB-16_022	SOU
BARR-15_013	SOU
SJHB-12_021	SOU
THEW-15_052	SOU
NANT-16_004	SOU
VICT-12_044	SOU
GEOB-16_013	SOU
STMB-15_042	SOU
THEW-15_023	SOU
SEAL-15_018	SOU
PASS-15_005	SOU
GEOB-16_041	SOU
GEOB-16_008	SOU
STMB-15_029	SOU
ALMA-15_030	SOU
ISLE-15_026	SOU
OFF3-12_040	SOU
NANT-16_008	SOU
LOBS-15_004	SOU
NORT-12_013	SOU
OFF3-12_033	SOU
MUSQ-15_022	SOU
BFUN-16_012	SOU
ALMA-12_019	SOU
NORT-12_024	SOU
SEAL-12_028	SOU
BFUN-16_007	SOU
VICT-12_030	SOU
BARR-15_010	SOU
THEW-15_047	SOU
THEW-12_030	SOU
SEAL-15_028	SOU
SEAL-15_007	SOU
BFUN-16_013	SOU
OFF2-12_014	SOU
PORM-15_002	SOU
OFF2-12_003	SOU
LOBS-12_029	SOU
PORM-15_017	SOU
CROW-16_026	SOU
LOBS-12_033	SOU
OFF2-12_013	SOU
ALMA-12_005	SOU
ALMA-15_004	SOU
ALMA-12_039	SOU
MUSQ-15_015	SOU
NANT-16_054	SOU
SEAL-15_033	SOU
